Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
46,NonResidential,Residential,1.0,2,Residential,0,1,1,1,0.0,1.0,46698.5,93397.0,16.61294822203779,6.413622878157807,11.444625210711436
8,NonResidential,Residential,1.0,6,Residential,0,1,1,2,0.2465,0.7535,14017.1667,84103.0,15.125491006015494,4.22038966907276,11.339809407255666
51,NonResidential,Hospital,1.0,3,Hospital,0,1,1,1,0.0,1.0,59671.3333,179014.0,16.630982508920763,6.068055149269695,12.095224880194644
108,NonResidential,Residential,1.0,7,Residential,0,1,1,1,0.0,1.0,10947.2857,76631.0,15.797719504432823,5.575001684790276,11.246770023062728
33,NonResidential,Other,1.0,6,Hospital,1,1,0,6,0.0936,0.9064,16630.0,99780.0,16.554614753630283,6.179954539922313,11.510733063413314
87,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,29160.0,58320.0,13.864062241318464,3.6903783302376723,10.973717513311941
6,NonResidential,Office,1.0,5,Office,0,1,1,4,0.0,1.0,63261.2,316306.0,16.43988599121853,4.940570419647969,12.664468539937253
26,NonResidential,Residential,1.0,7,Residential,0,1,1,2,0.1583,0.8417,40409.0,282863.0,16.783835919798648,6.268812152435704,12.552721495745804
54,Nonresidential COS,Other,1.0,1,Other,1,1,1,1,0.0,1.0,389000.0,389000.0,16.979253262582553,6.410848996804957,12.871337193291367
54,Nonresidential COS,Other,1.0,1,Other,1,1,0,1,0.0,1.0,91213.0,91213.0,15.912442804053937,5.844123959209273,11.420963673053087
78,Nonresidential COS,Other,1.0,5,Other,1,1,0,1,0.0,1.0,79217.0,396085.0,16.857889127815785,6.691090693765636,12.889386638375425
