Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
39,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,128800.0,128800.0,14.408341423911,4.381026134340298,11.766023856597407
89,NonResidential,Office,1.0,8,Office,1,1,0,3,0.0,1.0,40243.125,321945.0,16.42973260052593,5.875071170428134,12.682139108599662
52,NonResidential,Office,1.0,22,Office,1,1,1,3,0.0,1.0,15287.7273,336330.0,16.758211975813406,6.276004187287266,12.725851073081628
56,NonResidential,Office,1.0,21,Office,1,1,0,3,0.0,1.0,14210.7619,298426.0,17.114192373259925,6.990063111629714,12.606280625792168
40,NonResidential,Office,1.0,42,Office,0,1,0,5,0.0,1.0,15138.6667,635824.0,17.696661672827616,5.825911607889265,13.362678647226858
36,NonResidential,Retail,1.0,2,Retail,0,1,1,2,0.0,1.0,145970.0,291940.0,16.274124736904227,5.09650713317022,12.584307006040078
46,NonResidential,Other,1.0,1,Warehouse,0,1,1,3,0.0,1.0,88400.0,88400.0,15.293267136787387,4.762430312186675,11.389638560778947
56,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,52311.0,52311.0,13.743598653457092,3.9049983904911816,10.864981069241113
7,NonResidential,Other,1.0,5,Parking,0,1,0,5,0.4939,0.5061,28226.2,141131.0,14.942326361955333,3.113959654918641,11.857450901639037
15,NonResidential,Office,1.0,5,Office,0,1,0,2,0.3969,0.6031,35306.4,176532.0,15.573956233787392,3.7247291070076334,12.08126310671752
43,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,52500.0,52500.0,15.199151401618602,4.269277781231888,10.868587496017359
57,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,28650.0,57300.0,15.332941289681756,5.06050424124939,10.956073354557526
100,NonResidential,Office,1.0,6,Office,0,1,1,3,0.0,1.0,58385.0,350310.0,16.711534478916036,5.417699123568117,12.766576610348281
28,NonResidential,Office,1.0,2,Office,1,1,1,4,0.2036,0.7964,700000.0,1400000.0,17.78729503633243,6.3799530310090296,14.151983508870947
86,NonResidential,Residential,1.0,21,Residential,1,1,1,1,0.0,1.0,14549.9048,305548.0,17.33387855075215,7.321089345468996,12.629865437530928
27,NonResidential,Office,1.0,46,Office,0,1,1,6,0.3336,0.6664,33404.4783,1536606.0,17.851627964857407,6.275100946851013,14.245087296917465
58,NonResidential,Office,1.0,10,Office,1,1,0,1,0.0,1.0,13591.8,135918.0,15.675482649919925,5.2715626292392175,11.819814399049767
102,NonResidential,Retail,1.0,4,Retail,0,1,0,2,0.0,1.0,19989.25,79957.0,15.474144647371547,3.627269972482245,11.289256775795264
33,NonResidential,Office,1.0,29,Office,0,1,0,3,0.0,1.0,17241.3793,500000.0,16.751958801332187,4.885827643502908,13.122365377402328
90,NonResidential,Office,1.0,10,Office,1,1,1,3,0.0,1.0,13232.6,132326.0,15.612095200630181,4.192680462942962,11.793031410913876
32,NonResidential,Office,1.0,6,Office,0,1,0,4,0.1202,0.8798,18305.0,109830.0,15.808291547471894,3.9539324085053558,11.606698099721365
106,NonResidential,Office,1.0,10,Office,1,1,1,3,0.0,1.0,13051.3,130513.0,16.270919822791317,5.765441855042929,11.779235779684317
96,NonResidential,Office,1.0,8,Office,0,1,0,2,0.0,1.0,7582.5,60660.0,14.765668080909968,2.946016681308058,11.013056266434749
87,NonResidential,Office,1.0,14,Office,1,1,0,1,0.0,1.0,9810.7143,137350.0,15.666495317459715,5.318070973034873,11.830294972166737
87,NonResidential,Office,1.0,15,Office,1,1,0,1,0.0,1.0,10069.2667,151039.0,15.51050670875996,5.476840050084842,11.925299981379327
31,NonResidential,Office,1.0,30,Office,1,1,1,5,0.1784,0.8216,25166.6667,755000.0,17.771094938381506,6.677146431556656,13.534474352733596
110,NonResidential,Office,1.0,4,Office,0,1,1,1,0.0,1.0,15885.0,63540.0,15.07353409395085,4.328493992712844,11.059440645817386
89,NonResidential,Office,1.0,10,Office,0,1,0,3,0.0,1.0,13089.3,130893.0,15.755987976426592,3.9027804240612136,11.782143114331042
106,NonResidential,Other,1.0,5,Office,0,1,0,3,0.0,1.0,15984.0,79920.0,14.917272796992245,3.090132948975475,11.288793925756666
108,Campus,Other,1.0,4,Retail,0,1,1,9,0.0,1.0,34350.0,137400.0,16.51958653897184,5.7595324897606925,11.83065893676428
20,NonResidential,Other,1.0,6,Parking,0,1,1,4,0.5846,0.4154,24642.0,147852.0,16.084706381836625,5.225907951029896,11.903973815910073
20,NonResidential,Other,1.0,4,Parking,0,1,1,3,0.6245,0.3755,66833.75,267335.0,15.799700936848247,5.002267044425739,12.496261573193136
27,NonResidential,Office,1.0,2,Office,1,1,1,3,0.2428,0.7572,802789.0,1605578.0,17.71784084035551,6.2667830040763,14.288994997156012
36,NonResidential,Office,1.0,36,Office,0,1,1,3,0.0,1.0,22072.0,794592.0,17.09978674497837,5.381876959646967,13.585585312859951
45,NonResidential,Office,1.0,21,Office,0,1,0,2,0.2043,0.7957,21728.7619,456304.0,16.780645727928388,4.9143446337779695,13.030916724558724
30,NonResidential,Office,1.0,12,Office,0,1,0,3,0.1307,0.8693,9654.75,115857.0,15.37519094348444,3.5313480661272005,11.660120582288606
17,NonResidential,Office,1.0,4,Office,0,1,0,2,0.2,0.8,21875.0,87500.0,15.3306142741671,3.487986511734546,11.37940550085183
18,NonResidential,Office,1.0,11,Office,0,1,0,2,0.4935,0.5065,34036.8182,374405.0,16.40545454619397,4.5424433560797866,12.83309604909819
93,NonResidential,Office,1.0,11,Office,1,1,0,2,0.0,1.0,9349.6364,102846.0,15.488345809385217,5.6438555260758525,11.540997725963418
91,NonResidential,Office,1.0,4,Office,0,1,1,2,0.0,1.0,13200.0,52800.0,14.702999265168488,3.8172726688823353,10.874285408908944
103,Campus,Other,3.0,10,Parking,1,1,0,5,0.0,1.0,25849.7,86165.6667,16.849491774578976,6.040016587690148,12.462643235956783
87,NonResidential,Retail,1.0,8,Retail,1,1,1,2,0.0,1.0,107712.75,861702.0,16.68718906964012,5.7985773702092445,13.666665942711875
28,NonResidential,Other,1.0,9,Hospital,1,1,0,1,0.0,1.0,5190.0,46710.0,15.243290493386649,4.880450675722129,10.75173496195892
71,NonResidential,Hospital,1.0,3,Hospital,1,1,1,2,0.391,0.609,88666.6667,266000.0,16.448245227336855,5.30900999608678,12.491255347155265
24,NonResidential,Hospital,1.0,14,Hospital,0,1,0,2,0.5909,0.4091,49297.0,690158.0,16.867465827435698,5.00051761590797,13.444677284810034
15,NonResidential,Other,1.0,6,Parking,0,1,1,6,0.4694,0.5306,63073.8333,378443.0,17.82417233295765,6.125164675495825,12.84382338846974
15,NonResidential,Other,1.0,6,Parking,0,1,1,6,0.4907,0.5093,35639.0,213834.0,18.13398337318937,6.2758725155259665,12.272959968571612
35,NonResidential,Office,1.0,5,Office,0,1,0,2,0.1395,0.8605,55146.8,275734.0,16.61115842526611,4.7461487792476635,12.527195538537352
15,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,123061.0,123061.0,14.502607283883611,2.698673039289613,11.720443572397098
53,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,59090.0,59090.0,14.829369191796232,4.771616393623756,10.986833907533804
53,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,106000.0,106000.0,13.54549222571245,1.843719208158766,11.571203807011969
54,NonResidential,Office,1.0,3,Office,0,1,1,3,0.2421,0.7579,52866.6667,158600.0,16.722911547470797,5.471850417308912,11.974146893333247
56,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,119661.0,119661.0,13.561560042184286,1.8625285401162623,11.69242638082741
32,NonResidential,Office,1.0,6,Office,0,1,0,2,0.3544,0.6456,15953.5,95721.0,14.93507040647837,3.1072736482868986,11.469203436078995
33,NonResidential,Office,1.0,5,Office,0,1,0,4,0.0,1.0,24450.0,122250.0,15.52671539684207,3.678576561118039,11.713831587262764
56,NonResidential,Office,1.0,3,Office,0,1,1,1,0.0,1.0,18531.0,55593.0,15.256499877496774,4.545738602218665,10.92583056074651
34,NonResidential,Office,1.0,4,Office,0,1,0,2,0.4547,0.5453,33514.0,134056.0,15.36203848913626,3.5183876490735586,11.806020361621872
11,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,158415.0,158415.0,16.92432224468812,6.1213737625622064,11.972979763362297
87,NonResidential,Office,1.0,8,Office,0,1,1,4,0.0,1.0,35977.375,287819.0,17.695145837717536,5.858133134486126,12.570090563724165
41,NonResidential,Other,1.0,8,Hospital,1,1,1,1,0.0,1.0,19842.25,158738.0,17.938805015398806,7.146669812008544,11.9750166230156
31,NonResidential,Office,1.0,4,Office,0,1,0,2,0.3311,0.6689,21748.75,86995.0,14.911344239877597,3.0846584827483925,11.373617419568252
7,NonResidential,Office,1.0,5,Office,0,1,1,3,0.359,0.641,36896.4,184482.0,15.55092134425534,3.7249702742582897,12.125312597296075
88,NonResidential,Industrial,1.0,3,Industrial,0,1,1,2,0.0,1.0,18400.0,55200.0,16.266008803510598,5.601048137201335,10.918736348043124
12,NonResidential,Office,1.0,6,Office,0,1,0,5,0.3775,0.6225,23213.6667,139282.0,14.990533427651162,3.1599747169480397,11.844263113555305
7,NonResidential,Office,1.0,5,Office,0,1,1,3,0.3641,0.6359,54214.2,271071.0,15.876194202677103,4.1420229975388425,12.510139747231278
102,NonResidential,Warehouse,1.0,5,Warehouse,0,1,1,1,0.0,1.0,25560.0,127800.0,14.833452052865177,3.4187098067467865,11.758229645621093
14,NonResidential,Office,1.0,5,Office,0,1,1,2,0.3686,0.6314,112103.2,560516.0,17.21948730693757,6.45110213410454,13.23661485109685
15,NonResidential,Office,1.0,6,Office,0,1,1,2,0.4193,0.5807,37765.3333,226592.0,16.297364971080157,4.560591142590124,12.330910735660234
19,Campus,Other,1.0,5,Other,0,1,1,2,0.0,1.0,107189.4,535947.0,18.69355786952283,8.293161746040733,13.191792420421313
13,NonResidential,Other,1.0,5,Other,0,1,1,4,0.3172,0.6828,31940.0,159700.0,17.26141418865342,6.590246101632206,11.981058595924264
10,NonResidential,Office,1.0,4,Office,0,1,1,4,0.3511,0.6489,52454.0,209816.0,15.749562027140453,4.817697584839112,12.25399100121357
10,NonResidential,Office,1.0,6,Office,0,1,1,3,0.3626,0.6374,50517.1667,303103.0,15.83300588224858,4.256888491407381,12.621831259923514
62,NonResidential,Other,1.0,3,Warehouse,0,1,1,5,0.0,1.0,22460.0,67380.0,14.829229225613755,4.318820558770089,11.118118358049584
53,NonResidential,Industrial,1.0,4,Industrial,0,1,1,1,0.0,1.0,25558.75,102235.0,17.009898138357517,6.3769990197272675,11.53503914521534
8,NonResidential,Other,1.0,5,Industrial,0,1,1,3,0.3521,0.6479,87299.4,436497.0,17.627765315151446,6.928077379172044,12.986539072349808
42,NonResidential,Office,1.0,5,Office,0,1,0,2,0.2365,0.7635,17612.4,88062.0,15.043852678723571,3.21124679770371,11.385807746410581
44,NonResidential,Office,1.0,5,Office,0,1,0,2,0.2342,0.7658,17435.6,87178.0,15.105463263741806,3.2703291064571163,11.375718755205835
46,NonResidential,Office,1.0,5,Office,0,1,0,2,0.2342,0.7658,17435.6,87178.0,15.066298649101006,3.232778730037192,11.375718755205835
45,NonResidential,Office,1.0,5,Office,0,1,0,2,0.2455,0.7545,17600.0,88000.0,15.063954642061887,3.2304090606818736,11.385103457032141
28,NonResidential,Hospital,1.0,4,Hospital,0,1,1,2,0.4493,0.5507,49187.25,196749.0,16.768602361656843,6.17142916182822,12.18968916627965
19,NonResidential,Warehouse,1.0,4,Warehouse,0,1,1,1,0.0,1.0,24618.75,98475.0,13.902144686721403,3.154443964708812,11.497568142649186
8,NonResidential,Retail,1.0,1,Retail,0,1,0,1,0.0,1.0,63225.0,63225.0,15.69077634502157,3.8388069430968867,11.054470887941358
61,Nonresidential COS,Other,1.0,1,Other,0,1,1,2,0.0,1.0,113780.0,113780.0,15.089347963710193,4.812021740525323,11.642030827156859
17,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,243044.0,243044.0,14.149181195196865,3.756538102587751,12.401001890363212
15,NonResidential,Other,1.0,3,Parking,0,1,0,3,0.5578,0.4422,93417.3333,280252.0,16.259743032167375,4.398391988760146,12.543448045605032
64,NonResidential,Other,1.0,3,Other,0,1,0,2,0.1956,0.8044,22154.0,66462.0,15.743611706841863,3.8905950580145254,11.104400680823604
19,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,131387.0,131387.0,15.987196106267435,4.7136657821413905,11.785910056661425
17,NonResidential,Warehouse,1.0,3,Warehouse,0,1,1,1,0.0,1.0,31466.6667,94400.0,13.572630389675155,2.419478844465545,11.455306945297822
32,NonResidential,Retail,1.0,1,Other,0,1,1,1,0.0,1.0,144776.0,144776.0,16.412560667146934,5.473907988002699,11.882949906538373
49,NonResidential,Retail,1.0,1,Retail,0,1,1,2,0.0,1.0,114000.0,114000.0,16.661898209073104,6.317651932644658,11.643962499267984
15,NonResidential,Office,1.0,3,Office,0,1,0,2,0.351,0.649,32013.6667,96041.0,15.504391429027633,3.65687265797885,11.472540874774753
17,NonResidential,Office,1.0,3,Office,0,1,1,4,0.4087,0.5913,93652.3333,280957.0,16.24256861461691,4.558812062009942,12.545960470952528
17,NonResidential,Office,1.0,4,Office,0,1,1,2,0.4234,0.5766,60833.5,243334.0,15.973282110720557,4.454463568563388,12.402194373748076
25,NonResidential,Other,1.0,6,Other,1,1,1,9,0.0,1.0,25776.6667,154660.0,17.785062518573447,7.392856858414871,11.948990903938062
34,NonResidential,Office,1.0,5,Office,0,1,0,2,0.311,0.689,78059.0,390295.0,15.854635966737625,3.9994842811981406,12.874660704589415
49,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,45000.0,90000.0,14.172588583154843,2.89977188240808,11.407576060361786
50,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,50200.0,50200.0,13.861880653270767,3.503152104185149,10.823790225800138
91,NonResidential,Office,1.0,6,Office,0,1,1,5,0.0659,0.9341,15672.1667,94033.0,15.375379793266351,4.797772052189602,11.451411697981355
75,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,1,0.0,1.0,31620.0,63240.0,12.335203069144178,2.21375387928743,11.054708103975111
8,NonResidential,Other,1.0,5,Parking,0,1,1,2,0.5651,0.4349,64573.8,322869.0,16.653731636479538,6.026711027295051,12.68500504440909
28,NonResidential,Other,1.0,4,Other,0,1,0,2,0.1796,0.8204,32573.25,130293.0,13.050941084046105,1.4469189829363254,11.777548714470212
19,NonResidential,Warehouse,1.0,4,Warehouse,0,1,1,1,0.0,1.0,26510.25,106041.0,13.932354486130556,3.2801590532850993,11.571590521032341
60,NonResidential,Other,1.0,3,Other,0,1,1,1,0.0,1.0,31490.0,94470.0,13.816308114831225,3.5316406776874447,11.456048188078173
14,NonResidential,Office,1.0,10,Office,0,1,0,3,0.2102,0.7898,18169.4,181694.0,15.848644644749916,3.993602992420569,12.110084736119012
50,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,22780.0,22780.0,12.90433748973192,1.33500106673234,10.033682134193954
46,NonResidential,Office,1.0,22,Office,0,1,0,2,0.4331,0.5669,10343.4545,227556.0,15.954802421767894,4.097838451476356,12.33515603544142
47,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,57540.0,57540.0,14.764341275002979,4.35259782398307,10.960253016168982
50,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,85400.0,85400.0,14.245342534557048,2.4612967841488667,11.355113089309977
50,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,55700.0,55700.0,13.161213048268394,1.5303947050936475,10.92775337907558
30,NonResidential,Warehouse,1.0,3,Warehouse,0,1,1,1,0.0,1.0,21553.3333,64660.0,12.693160750458514,1.9906103279732201,11.076913516671743
89,NonResidential,Other,1.0,2,Other,0,1,1,3,0.2627,0.7373,37922.0,75844.0,15.11956111368805,3.675794214565281,11.236447063025773
48,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,161678.0,161678.0,16.05165997135313,5.326953413084369,11.993368167001472
67,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,101101.0,101101.0,16.897229270938787,5.035067710236841,11.523885187206563
36,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,52613.0,52613.0,13.8751551703165,3.497113438491982,10.87073752300741
76,NonResidential,Other,1.0,1,Other,0,1,1,2,0.0,1.0,56608.0,56608.0,15.4436128030241,4.32161292811326,10.943923262151136
36,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,58480.0,58480.0,16.218351399434447,5.611447863453405,10.97645719414066
102,NonResidential,Office,1.0,2,Office,0,1,1,3,0.0,1.0,31110.0,62220.0,15.510071390374987,3.677565694213663,11.038447842325047
46,NonResidential,Office,1.0,1,Office,0,1,1,2,0.0,1.0,65430.0,65430.0,14.97272078866908,4.5134933974161875,11.088751431256087
10,NonResidential,Office,1.0,3,Office,0,1,1,2,0.4149,0.5851,34096.6667,102290.0,15.61767759673028,3.9154172384961616,11.535576971529967
90,NonResidential,Other,1.0,3,Other,0,1,0,1,0.0,1.0,26668.0,80004.0,16.31957624563627,4.457597821520956,11.289844411702974
25,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,161958.0,323916.0,15.89795577160156,5.573863596655295,12.688242589117094
84,NonResidential,Other,1.0,14,Office,0,1,1,3,0.0,1.0,21718.0,304052.0,16.86133676445933,5.514839041553359,12.624957307297803
38,NonResidential,Office,1.0,4,Office,0,1,0,3,0.3655,0.6345,21346.25,85385.0,15.395527383673613,3.551053137206533,11.354937431911715
27,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,49012.0,98024.0,14.502808414535307,3.7669972333778885,11.492977827160532
88,NonResidential,Other,1.0,1,Office,0,1,1,3,0.2308,0.7692,65000.0,65000.0,14.772533264307,4.1726935286330775,11.082157933374816
26,NonResidential,Office,1.0,5,Office,0,1,0,2,0.4608,0.5392,28914.6,144573.0,15.451598385733563,3.6054978451748854,11.88154676617732
66,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,151406.0,302812.0,15.802127334885366,4.86976273521484,12.62087073225265
42,NonResidential,Office,1.0,5,Office,0,1,1,1,0.0,1.0,17280.0,86400.0,16.021587283613915,5.685448767967697,11.366754528799243
47,NonResidential,Other,1.0,2,Retail,0,1,1,1,0.0,1.0,49269.5,98539.0,15.511207356004032,3.8605191625610304,11.498217836097954
40,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,51600.0,51600.0,13.932888289273723,3.139832617527748,10.851296331126829
48,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,140520.0,140520.0,14.615498008804943,4.072950669534428,11.85311222277915
30,NonResidential,Office,1.0,5,Office,0,1,1,2,0.405,0.595,30805.8,154029.0,15.349448221785124,4.092342559551428,11.944902667618504
11,NonResidential,Other,1.0,3,Parking,0,1,1,2,0.5682,0.4318,53929.6667,161789.0,15.756209653031496,3.917607383722047,11.994054476999382
11,NonResidential,Hospital,1.0,3,Hospital,0,1,0,2,0.0,1.0,21303.0,63909.0,15.376966424613306,3.5328102684640474,11.065231122644327
68,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,26736.0,53472.0,13.786243037046205,3.5553480614894135,10.886932132596673
36,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,50417.0,50417.0,14.429290885742637,4.088829381533991,10.828103533156273
116,NonResidential,Restaurant,1.0,1,Restaurant,0,0,1,1,0.0,1.0,43728.0,43728.0,16.258556131907284,6.417042691846703,10.685766776548883
55,NonResidential,Hospital,1.0,3,Hospital,0,1,1,1,0.0,1.0,44432.6667,133298.0,16.56540590998367,5.691979762537049,11.800350004263192
51,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,84309.5,168619.0,15.680494079041672,4.522874943261261,12.035402941476667
14,NonResidential,Other,1.0,5,Parking,0,1,1,3,0.45,0.55,50365.4,251827.0,17.667835128782166,7.053974588483115,12.436501593774768
16,NonResidential,Office,1.0,4,Office,0,1,0,2,0.4059,0.5941,43971.25,175885.0,15.685214920606796,3.8334126048462345,12.077591336881623
47,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,1,0.0,1.0,52393.0,104786.0,13.843493240140107,3.213260086082565,11.559684997373235
43,NonResidential,Other,1.0,1,Other,0,1,1,1,0.0,1.0,110689.0,110689.0,14.66558253122548,4.68978703170797,11.61448878037967
68,NonResidential,Office,1.0,1,Office,0,1,1,1,0.0,1.0,53620.0,53620.0,14.537709737605454,3.1406980438041767,10.889696061373598
78,NonResidential,Office,1.0,1,Office,0,1,1,1,0.0,1.0,50008.0,50008.0,14.979353003534788,4.194189897191817,10.819958268212227
7,NonResidential,Office,1.0,4,Office,0,1,1,2,0.344,0.656,72794.0,291176.0,15.711231990331338,3.9267145541711357,12.581686608668821
59,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,50832.0,50832.0,14.752005111155329,4.683611612294654,10.836301028962945
45,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,76354.0,76354.0,14.860382525628097,3.058237478905388,11.243148796387281
60,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,98480.0,98480.0,14.85634065004513,3.7013019741124933,11.49761891515284
112,NonResidential,Other,1.0,2,Retail,0,1,1,4,0.0,1.0,26501.0,53002.0,15.051459894804857,4.174387269895637,10.878103794705911
8,NonResidential,Other,1.0,3,Office,0,1,1,3,0.2911,0.7089,58639.3333,175918.0,16.930365813489924,6.464136488241093,12.077778940810486
96,NonResidential,Other,1.0,3,Other,0,1,1,2,0.3757,0.6243,56595.0,169785.0,16.768096105652834,6.008862324284403,12.042294099519093
45,NonResidential,Office,1.0,11,Office,0,1,1,4,0.0,1.0,11338.2727,124721.0,16.447268598180077,5.90478947719715,11.733842539523547
46,NonResidential,Office,1.0,7,Office,0,1,0,2,0.0,1.0,13428.8571,94002.0,15.549329248561316,3.7005609588877744,11.45108197563649
42,NonResidential,Warehouse,1.0,1,Warehouse,0,1,0,1,0.0,1.0,93020.0,93020.0,14.040512281806098,2.2752138961979136,11.440580553096567
70,NonResidential,Other,1.0,1,Other,0,1,1,2,0.0,1.0,23000.0,23000.0,13.474595592019906,3.286160571673797,10.043292972227004
112,NonResidential,Office,1.0,5,Office,0,1,0,1,0.0,1.0,15784.0,78920.0,14.856026022034522,3.0315819264476884,11.276202631115575
110,NonResidential,Office,1.0,7,Office,0,1,1,2,0.0,1.0,14205.7143,99440.0,15.703615050149606,4.910372872157861,11.507319782449395
109,NonResidential,Office,1.0,6,Office,0,1,0,1,0.0,1.0,12210.0,73260.0,14.863948399785636,3.0392705755684744,11.201783686253295
116,NonResidential,Office,1.0,4,Office,1,1,1,2,0.0,1.0,17454.25,69817.0,14.593952246704351,4.354141431184346,11.153647135161382
116,NonResidential,Office,1.0,4,Office,0,1,1,2,0.0,1.0,21187.5,84750.0,14.554933136174391,3.2973172511747633,11.347472824583114
116,NonResidential,Office,1.0,6,Office,0,1,0,3,0.1764,0.8236,12582.6667,75496.0,15.088121740952005,3.2538567937634464,11.231848199348319
116,NonResidential,Office,1.0,4,Office,1,1,1,2,0.0,1.0,41095.0,164380.0,15.850967818695803,4.877560939870913,12.009942183149128
109,NonResidential,Office,1.0,7,Office,1,1,1,1,0.0,1.0,22940.0,160580.0,15.282506294403918,4.611052849146247,11.986553767144867
110,Nonresidential COS,Other,1.0,3,Other,0,1,0,4,0.0,1.0,22585.0,67755.0,14.45972008847928,2.658859956911438,11.123668295706272
106,NonResidential,Other,1.0,3,Office,0,1,1,3,0.0,1.0,18900.0,56700.0,14.679065271013766,3.4836986031738992,10.945547126244623
94,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,2,0.0,1.0,82852.0,82852.0,14.58265350795488,4.198103796512953,11.324823232217247
63,NonResidential,Other,1.0,2,Other,0,1,1,3,0.0,1.0,38221.0,76442.0,15.196359620318258,4.894850261102546,11.244300644051904
54,NonResidential,Warehouse,1.0,2,Warehouse,0,1,1,2,0.0,1.0,46396.0,92792.0,14.964656569285015,4.319885238136032,11.438126484894745
75,NonResidential,Other,2.0,2,Industrial,0,1,0,1,0.0,1.0,62759.5,62759.5,14.623912246814582,2.812410216426453,11.740220387406914
62,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,78814.0,78814.0,13.666980241761957,2.8610573702273894,11.274858613060642
112,NonResidential,Office,1.0,4,Office,0,1,1,4,0.0,1.0,14742.5,58970.0,14.39010657981184,3.7419461750506287,10.984801076625908
106,NonResidential,Warehouse,1.0,6,Warehouse,0,1,0,3,0.1429,0.8571,12600.0,75600.0,14.804559716050251,2.9826470340053355,11.233224789593368
109,NonResidential,Warehouse,1.0,4,Warehouse,0,1,0,4,0.0,1.0,14067.5,56270.0,13.870740064046108,2.124653884501384,10.93793458372845
112,NonResidential,Office,1.0,4,Office,0,1,1,2,0.0,1.0,16710.5,66842.0,15.539811959434191,4.936988753927957,11.110101865005516
107,NonResidential,Office,1.0,6,Office,0,1,1,2,0.1434,0.8566,12548.0,75288.0,14.877322615081919,3.0530573401732606,11.229089320779604
112,NonResidential,Office,1.0,7,Office,0,1,0,2,0.0,1.0,26331.7143,184322.0,16.089993560197225,4.23091300500412,12.124444932398877
7,NonResidential,Office,1.0,7,Office,0,1,1,2,0.0,1.0,41121.8571,287853.0,17.056817278693114,5.210250887679586,12.57020868613386
102,NonResidential,Office,1.0,2,Office,0,1,1,1,0.0,1.0,32256.0,64512.0,15.601948308600349,5.202687135532787,11.07462203286291
7,NonResidential,Other,1.0,6,Parking,0,1,1,5,0.3908,0.6092,47666.6667,286000.0,17.971815210651773,6.101708121206741,12.563750586299374
90,NonResidential,Warehouse,1.0,7,Warehouse,0,1,1,1,0.0,1.0,20578.5714,144050.0,15.183990174638973,4.599453878991982,11.877922682522595
86,NonResidential,Office,1.0,3,Office,0,1,1,1,0.0,1.0,20197.3333,60592.0,15.434789389325681,3.876395827784995,11.011934653834277
104,NonResidential,Office,1.0,6,Office,0,1,1,3,0.0,1.0,230159.8333,1380959.0,18.121338650225976,6.69913081376713,14.138289467453484
23,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,107930.0,107930.0,15.79257096067688,4.619270310366873,11.589247413040994
90,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,99084.0,99084.0,14.296770209213014,3.917010546939185,11.503733346601313
63,NonResidential,Warehouse,1.0,1,Warehouse,0,1,1,1,0.0,1.0,72719.0,72719.0,14.763975213356957,3.778263015248622,11.19437172885136
86,NonResidential,Office,1.0,4,Office,0,1,1,1,0.0,1.0,19156.0,76624.0,14.835674159499462,3.538347219809389,11.246678673238513
15,NonResidential,Office,1.0,6,Office,0,1,0,3,0.3989,0.6011,15284.3333,91706.0,15.963845032804059,4.1067670822206574,11.426353991208984
8,NonResidential,Hospital,1.0,5,Hospital,0,1,1,3,0.3091,0.6909,25818.6,129093.0,16.772955798350136,6.171387395967629,11.7682961001544
